"Uxmean","U:0","U:1","U:2","pMean","pPrime2Mean","Q","QMean","p","UMean:0","UMean:1","UMean:2","vorticityMean:0","vorticityMean:1","vorticityMean:2","vorticity:0","vorticity:1","vorticity:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","PmeanPSI","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
17.135,-16.405,0.70792,-0.1262,155.38,2.9285,-4.7154e+10,-1.7783e+10,155.36,-17.135,0.22691,0.00027532,14016,-23413,1.3744e+05,-7951.6,98941,2.0493e+05,0.84443,0.35341,-0.030511,0.37504,0.13995,-0.006449,37.492,1,0,-0.001,3e-05,-2e-05
17.135,-16.405,0.70792,-0.1262,155.38,2.9285,-4.7154e+10,-1.7783e+10,155.36,-17.135,0.22691,0.00027532,14016,-23413,1.3744e+05,-7951.6,98941,2.0493e+05,0.84443,0.35341,-0.030511,0.37504,0.13995,-0.006449,37.492,1,1.3334e-06,-0.00099867,3e-05,-2e-05
17.17,-16.397,0.75257,-0.16141,155.23,2.8004,-5.1179e+10,-1.8823e+10,155.33,-17.17,0.2618,0.0026446,13717,-23238,1.3537e+05,-6748.4,92803,2.0823e+05,0.81661,0.34999,-0.025356,0.38101,0.1343,-0.0043771,37.471,1,2.6667e-06,-0.00099733,3e-05,-2e-05
17.205,-16.387,0.8017,-0.19522,155.1,2.6812,-5.5091e+10,-1.9867e+10,155.3,-17.205,0.29762,0.0047996,13364,-22054,1.336e+05,-5420.8,85844,2.1239e+05,0.7912,0.34737,-0.020688,0.38804,0.12864,-0.0022402,37.451,1,4e-06,-0.000996,3e-05,-2e-05
17.205,-16.387,0.8017,-0.19522,155.1,2.6812,-5.5091e+10,-1.9867e+10,155.3,-17.205,0.29762,0.0047996,13364,-22054,1.336e+05,-5420.8,85844,2.1239e+05,0.7912,0.34737,-0.020688,0.38804,0.12864,-0.0022402,37.451,1,5.3333e-06,-0.00099467,3e-05,-2e-05
17.237,-16.376,0.85471,-0.2246,154.96,2.5797,-5.9093e+10,-2.0925e+10,155.28,-17.237,0.33407,0.0078404,12816,-21568,1.3208e+05,-4393.8,75314,2.1692e+05,0.76707,0.34529,-0.016152,0.39574,0.123,8.9856e-05,37.432,1,6.6668e-06,-0.00099333,3e-05,-2e-05
17.269,-16.365,0.91127,-0.25092,154.83,2.4885,-6.2792e+10,-2.1949e+10,155.25,-17.269,0.37091,0.010882,12284,-20317,1.3077e+05,-3108.5,64484,2.2223e+05,0.74456,0.34383,-0.012043,0.40449,0.11743,0.0024655,37.413,1,8.0001e-06,-0.000992,3e-05,-2e-05
17.269,-16.365,0.91127,-0.25092,154.83,2.4885,-6.2792e+10,-2.1949e+10,155.25,-17.269,0.37091,0.010882,12284,-20317,1.3077e+05,-3108.5,64484,2.2223e+05,0.74456,0.34383,-0.012043,0.40449,0.11743,0.0024655,37.413,1,9.3334e-06,-0.00099067,3e-05,-2e-05
17.3,-16.353,0.97082,-0.27282,154.7,2.4202,-6.6264e+10,-2.2934e+10,155.22,-17.3,0.40789,0.014428,11816,-19742,1.2961e+05,-1401.5,50755,2.2811e+05,0.72286,0.34278,-0.0082219,0.41397,0.11198,0.0049091,37.393,1,1.0667e-05,-0.00098933,3e-05,-2e-05
17.331,-16.341,1.033,-0.29236,154.57,2.3596,-6.9278e+10,-2.3891e+10,155.19,-17.331,0.44486,0.017417,11346,-18128,1.2861e+05,628.4,38223,2.3499e+05,0.70244,0.34225,-0.0049091,0.42461,0.10664,0.0072157,37.374,1,1.2e-05,-0.000988,3e-05,-2e-05
17.331,-16.341,1.033,-0.29236,154.57,2.3596,-6.9278e+10,-2.3891e+10,155.19,-17.331,0.44486,0.017417,11346,-18128,1.2861e+05,628.4,38223,2.3499e+05,0.70244,0.34225,-0.0049091,0.42461,0.10664,0.0072157,37.374,1,1.3333e-05,-0.00098667,3e-05,-2e-05
17.361,-16.331,1.0972,-0.3066,154.44,2.3173,-7.1922e+10,-2.48e+10,155.14,-17.361,0.48146,0.021354,10760,-17453,1.2769e+05,2563.9,23344,2.4244e+05,0.68176,0.34172,-0.0018206,0.43589,0.10146,0.0096289,37.355,1,1.4667e-05,-0.00098533,3e-05,-2e-05
17.392,-16.322,1.1625,-0.3179,154.3,2.2856,-7.4042e+10,-2.5654e+10,155.08,-17.392,0.51723,0.024987,10167,-16361,1.2685e+05,4718,9330.6,2.5084e+05,0.6617,0.34135,0.00084355,0.44803,0.096473,0.011923,37.335,1,1.6e-05,-0.000984,3e-05,-2e-05
17.392,-16.322,1.1625,-0.3179,154.3,2.2856,-7.4042e+10,-2.5654e+10,155.08,-17.392,0.51723,0.024987,10167,-16361,1.2685e+05,4718,9330.6,2.5084e+05,0.6617,0.34135,0.00084355,0.44803,0.096473,0.011923,37.335,1,1.7333e-05,-0.00098267,3e-05,-2e-05
17.422,-16.315,1.2286,-0.32576,154.16,2.2685,-7.5524e+10,-2.6404e+10,155,-17.422,0.55203,0.028744,9512.9,-15650,1.2604e+05,7104.7,-5595.8,2.5992e+05,0.64133,0.34082,0.0031264,0.46091,0.091709,0.014121,37.315,1,1.8667e-05,-0.00098133,3e-05,-2e-05
17.453,-16.313,1.2946,-0.3314,154.03,2.2588,-7.6469e+10,-2.7092e+10,154.89,-17.453,0.58545,0.032034,8953.4,-14740,1.2519e+05,9951.8,-19545,2.6989e+05,0.6212,0.34018,0.0049644,0.47462,0.087179,0.016127,37.294,1,2e-05,-0.00098,3e-05,-2e-05
17.453,-16.313,1.2946,-0.3314,154.03,2.2588,-7.6469e+10,-2.7092e+10,154.89,-17.453,0.58545,0.032034,8953.4,-14740,1.2519e+05,9951.8,-19545,2.6989e+05,0.6212,0.34018,0.0049644,0.47462,0.087179,0.016127,37.294,1,2.1333e-05,-0.00097867,3e-05,-2e-05
17.484,-16.315,1.36,-0.33427,153.88,2.2572,-7.6768e+10,-2.7672e+10,154.76,-17.484,0.61719,0.035323,8296.7,-14127,1.243e+05,12812,-33493,2.8062e+05,0.60048,0.33908,0.0064797,0.48891,0.082903,0.018022,37.273,1,2.2667e-05,-0.00097733,3e-05,-2e-05
17.515,-16.323,1.424,-0.33498,153.73,2.2623,-7.6625e+10,-2.8194e+10,154.61,-17.515,0.64678,0.038419,7579.2,-13650,1.2326e+05,15636,-46439,2.9192e+05,0.57939,0.33741,0.007653,0.50359,0.078891,0.019748,37.251,1,2.4e-05,-0.000976,3e-05,-2e-05
17.515,-16.323,1.424,-0.33498,153.73,2.2623,-7.6625e+10,-2.8194e+10,154.61,-17.515,0.64678,0.038419,7579.2,-13650,1.2326e+05,15636,-46439,2.9192e+05,0.57939,0.33741,0.007653,0.50359,0.078891,0.019748,37.251,1,2.5333e-05,-0.00097467,3e-05,-2e-05
17.547,-16.337,1.4863,-0.3337,153.58,2.2676,-7.5869e+10,-2.8582e+10,154.43,-17.547,0.67398,0.041564,7066.4,-13231,1.2205e+05,18939,-58403,3.0382e+05,0.55778,0.33507,0.008476,0.51856,0.075164,0.021322,37.229,1,2.6667e-05,-0.00097333,3e-05,-2e-05
17.579,-16.359,1.5465,-0.32977,153.42,2.2746,-7.4632e+10,-2.8879e+10,154.23,-17.579,0.69861,0.045091,6538.2,-13288,1.2063e+05,22026,-69242,3.1632e+05,0.53547,0.33185,0.0090633,0.53379,0.071702,0.022851,37.206,1,2.8e-05,-0.000972,3e-05,-2e-05
17.579,-16.359,1.5465,-0.32977,153.42,2.2746,-7.4632e+10,-2.8879e+10,154.23,-17.579,0.69861,0.045091,6538.2,-13288,1.2063e+05,22026,-69242,3.1632e+05,0.53547,0.33185,0.0090633,0.53379,0.071702,0.022851,37.206,1,2.9333e-05,-0.00097067,3e-05,-2e-05
17.611,-16.389,1.6039,-0.3249,153.27,2.2779,-7.3029e+10,-2.9085e+10,154,-17.611,0.72023,0.048518,5985.2,-13206,1.1897e+05,25132,-78643,3.2891e+05,0.51283,0.32781,0.0093834,0.54907,0.068545,0.024217,37.183,1,3.0667e-05,-0.00096933,3e-05,-2e-05
17.644,-16.428,1.6587,-0.31877,153.11,2.2796,-7.0993e+10,-2.9173e+10,153.76,-17.644,0.73888,0.052016,5510.8,-13548,1.1699e+05,28110,-86673,3.4152e+05,0.48995,0.32287,0.0094756,0.56454,0.065641,0.025452,37.16,1,3.2e-05,-0.000968,3e-05,-2e-05
